"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2002,4,"Arizona","Construction",165753,13077,1314063000
2003,4,"Arizona","Construction",164914,13547,1277809000
2004,4,"Arizona","Construction",184745,14052,1431007000
2005,4,"Arizona","Construction",211372,15082,1676444000
2006,4,"Arizona","Construction",249265,16065,2213256000
2007,4,"Arizona","Construction",237252,16781,2239554000
2008,4,"Arizona","Construction",208256,15599,2112816000
2009,4,"Arizona","Construction",146787,13282,1540436000
2010,4,"Arizona","Construction",120550,12091,1181772000
2011,4,"Arizona","Construction",116905,11438,1213337000
2012,4,"Arizona","Construction",118678,11119,1277922000
2013,4,"Arizona","Construction",123158,11266,1342638000
2014,4,"Arizona","Construction",128060,11438,1389239000
2015,4,"Arizona","Construction",133038,11615,1463698000
2016,4,"Arizona","Construction",141710,11921,1585142000
2017,4,"Arizona","Construction",148714,12380,1843582000
2018,4,"Arizona","Construction",161310,12724,2097383000
2019,4,"Arizona","Construction",173617,13089,2360930000
2020,4,"Arizona","Construction",180561,13487,2598806000
2021,4,"Arizona","Construction",184434,14289,2690678000
2001,4,"Arizona","Education and Health Services",227094,12576,1699970000
2002,4,"Arizona","Education and Health Services",244162,13596,1921609000
2003,4,"Arizona","Education and Health Services",258142,13995,2073341000
2004,4,"Arizona","Education and Health Services",276789,14712,2263009000
2005,4,"Arizona","Education and Health Services",290876,15468,2473758000
2006,4,"Arizona","Education and Health Services",309389,16264,2857057000
2007,4,"Arizona","Education and Health Services",320290,17287,3095327000
2008,4,"Arizona","Education and Health Services",334253,17725,3366825000
2009,4,"Arizona","Education and Health Services",352310,17889,3590867000
2010,4,"Arizona","Education and Health Services",364197,18307,3687513000
2011,4,"Arizona","Education and Health Services",389530,18367,3860173000
2012,4,"Arizona","Education and Health Services",394518,18929,4108009000
2013,4,"Arizona","Education and Health Services",398153,19093,4122378000
2014,4,"Arizona","Education and Health Services",385219,19477,4148940000
2015,4,"Arizona","Education and Health Services",395330,19868,4345859000
2016,4,"Arizona","Education and Health Services",420066,20223,4518410000
2017,4,"Arizona","Education and Health Services",431648,21047,5082403000
2018,4,"Arizona","Education and Health Services",441294,21385,5322045000
2019,4,"Arizona","Education and Health Services",451072,21875,5516864000
2020,4,"Arizona","Education and Health Services",464736,22242,5784886000
2021,4,"Arizona","Education and Health Services",463997,22934,5837371000
2001,4,"Arizona","Financial Activities",154203,13666,1568393000
2002,4,"Arizona","Financial Activities",153440,14741,1524918000
2003,4,"Arizona","Financial Activities",155650,15440,1669482000
2004,4,"Arizona","Financial Activities",165157,16485,1852259000
2005,4,"Arizona","Financial Activities",179225,18053,2197166000
2006,4,"Arizona","Financial Activities",194753,19595,2689088000
2007,4,"Arizona","Financial Activities",200966,20035,2788101000
2008,4,"Arizona","Financial Activities",189416,19011,2629757000
2009,4,"Arizona","Financial Activities",174994,17930,2382565000
2010,4,"Arizona","Financial Activities",167370,17405,2297686000
2011,4,"Arizona","Financial Activities",168688,16893,2457539000
2012,4,"Arizona","Financial Activities",173615,17353,2641802000
2013,4,"Arizona","Financial Activities",175142,17687,2823598000
2014,4,"Arizona","Financial Activities",180034,17753,3102928000
2015,4,"Arizona","Financial Activities",186117,17989,3345921000
2016,4,"Arizona","Financial Activities",194291,18886,3335117000
2017,4,"Arizona","Financial Activities",215094,19626,4118338000
2018,4,"Arizona","Financial Activities",230812,19956,4598673000
2019,4,"Arizona","Financial Activities",230328,20391,4734380000
2020,4,"Arizona","Financial Activities",235442,21180,5126881000
2021,4,"Arizona","Financial Activities",240456,22268,5809367000
2001,4,"Arizona","Information",57778,2186,657141000
2002,4,"Arizona","Information",54215,2165,675516000
2003,4,"Arizona","Information",55759,2210,698124000
2004,4,"Arizona","Information",50770,2150,621821000
2005,4,"Arizona","Information",51560,2224,627156000
2006,4,"Arizona","Information",52970,2223,671556000
2007,4,"Arizona","Information",51792,2325,742522000
2008,4,"Arizona","Information",53898,2294,821120000
2009,4,"Arizona","Information",51495,2197,762570000
2010,4,"Arizona","Information",51084,2060,749798000
2011,4,"Arizona","Information",47809,2044,740550000
2012,4,"Arizona","Information",43983,2027,736210000
2013,4,"Arizona","Information",45575,2057,726989000
2014,4,"Arizona","Information",44879,2111,770662000
2015,4,"Arizona","Information",48961,2121,903977000
2016,4,"Arizona","Information",48153,2272,835945000
2017,4,"Arizona","Information",54874,2520,970715000
2018,4,"Arizona","Information",58569,2598,1075592000
2019,4,"Arizona","Information",58484,2632,1177370000
2020,4,"Arizona","Information",56460,2662,1183440000
2021,4,"Arizona","Information",51131,2695,1192841000
2001,4,"Arizona","Leisure and Hospitality",240084,10885,852912000
2002,4,"Arizona","Leisure and Hospitality",243852,11455,857705000
2003,4,"Arizona","Leisure and Hospitality",250198,11578,895107000
2004,4,"Arizona","Leisure and Hospitality",264408,12097,994533000
2005,4,"Arizona","Leisure and Hospitality",280533,12470,1038503000
2006,4,"Arizona","Leisure and Hospitality",299537,12785,1176441000
2007,4,"Arizona","Leisure and Hospitality",302374,13377,1315754000
2008,4,"Arizona","Leisure and Hospitality",305080,13401,1344263000
2009,4,"Arizona","Leisure and Hospitality",286412,13236,1284092000
2010,4,"Arizona","Leisure and Hospitality",276298,13133,1239226000
2011,4,"Arizona","Leisure and Hospitality",286119,13289,1269831000
2012,4,"Arizona","Leisure and Hospitality",294304,13417,1363092000
2013,4,"Arizona","Leisure and Hospitality",299016,13653,1411972000
2014,4,"Arizona","Leisure and Hospitality",314735,13756,1504083000
2015,4,"Arizona","Leisure and Hospitality",327554,14052,1623487000
2016,4,"Arizona","Leisure and Hospitality",337812,14471,1674662000
2017,4,"Arizona","Leisure and Hospitality",347506,15133,1810926000
2018,4,"Arizona","Leisure and Hospitality",363729,15515,1968140000
2019,4,"Arizona","Leisure and Hospitality",372536,15829,2109917000
2020,4,"Arizona","Leisure and Hospitality",370484,15869,2250983000
2021,4,"Arizona","Leisure and Hospitality",324314,16260,1936494000
2001,4,"Arizona","Manufacturing",192095,4937,2065088000
2002,4,"Arizona","Manufacturing",165692,4796,1749094000
2003,4,"Arizona","Manufacturing",163571,4792,1747923000
2004,4,"Arizona","Manufacturing",166684,4818,1797492000
2005,4,"Arizona","Manufacturing",166746,4858,1925631000
2006,4,"Arizona","Manufacturing",178344,4971,2102832000
2007,4,"Arizona","Manufacturing",172110,5038,2095280000
2008,4,"Arizona","Manufacturing",161289,4959,2156093000
2009,4,"Arizona","Manufacturing",139817,4565,1901932000
2010,4,"Arizona","Manufacturing",131293,4356,1845731000
2011,4,"Arizona","Manufacturing",131238,4267,1912060000
2012,4,"Arizona","Manufacturing",131843,4269,2089112000
2013,4,"Arizona","Manufacturing",131516,4224,2011836000
2014,4,"Arizona","Manufacturing",135436,4224,2199032000
2015,4,"Arizona","Manufacturing",140742,4268,2186912000
2016,4,"Arizona","Manufacturing",144208,4291,2304344000
2017,4,"Arizona","Manufacturing",149174,4319,2489233000
2018,4,"Arizona","Manufacturing",151293,4336,2577986000
2019,4,"Arizona","Manufacturing",154946,4312,2699358000
2020,4,"Arizona","Manufacturing",156068,4268,2755824000
2021,4,"Arizona","Manufacturing",157565,4335,2886020000
2001,4,"Arizona","Other Services",80672,10034,411017000
2002,4,"Arizona","Other Services",79707,10336,408327000
2003,4,"Arizona","Other Services",81374,10268,415297000
2004,4,"Arizona","Other Services",81401,10240,414368000
2005,4,"Arizona","Other Services",83918,10543,444004000
2006,4,"Arizona","Other Services",87196,10801,495487000
2007,4,"Arizona","Other Services",91814,11224,540732000
2008,4,"Arizona","Other Services",91593,10914,560424000
2009,4,"Arizona","Other Services",84385,10707,527339000
2010,4,"Arizona","Other Services",81196,10661,497240000
2011,4,"Arizona","Other Services",80970,10672,505441000
2012,4,"Arizona","Other Services",83788,10812,548423000
2013,4,"Arizona","Other Services",84065,10768,551546000
2014,4,"Arizona","Other Services",85136,10886,600181000
2015,4,"Arizona","Other Services",87510,10978,623198000
2016,4,"Arizona","Other Services",89232,11256,632140000
2017,4,"Arizona","Other Services",89997,11614,753177000
2018,4,"Arizona","Other Services",92466,11619,786943000
2019,4,"Arizona","Other Services",95068,11881,800618000
2020,4,"Arizona","Other Services",95729,12139,844029000
2021,4,"Arizona","Other Services",90780,12634,807862000
2001,4,"Arizona","Professional and Business Services",348175,20637,2835731000
2002,4,"Arizona","Professional and Business Services",350667,21299,2897934000
2003,4,"Arizona","Professional and Business Services",387384,21606,3334287000
2004,4,"Arizona","Professional and Business Services",368648,22684,3474568000
2005,4,"Arizona","Professional and Business Services",395592,23937,3780331000
2006,4,"Arizona","Professional and Business Services",375657,25194,4016422000
2007,4,"Arizona","Professional and Business Services",469724,26364,5005117000
2008,4,"Arizona","Professional and Business Services",427873,25967,5142286000
2009,4,"Arizona","Professional and Business Services",361974,25121,4335750000
2010,4,"Arizona","Professional and Business Services",372564,25374,4323615000
2011,4,"Arizona","Professional and Business Services",375144,25040,4326257000
2012,4,"Arizona","Professional and Business Services",391268,25297,4897044000
2013,4,"Arizona","Professional and Business Services",397388,25550,4803537000
2014,4,"Arizona","Professional and Business Services",443323,26112,5354307000
2015,4,"Arizona","Professional and Business Services",453829,26568,5794499000
2016,4,"Arizona","Professional and Business Services",473775,26974,5921772000
2017,4,"Arizona","Professional and Business Services",478057,27891,6076509000
2018,4,"Arizona","Professional and Business Services",507219,28166,7000019000
2019,4,"Arizona","Professional and Business Services",522081,28533,7340910000
2020,4,"Arizona","Professional and Business Services",513010,29248,7611036000
2021,4,"Arizona","Professional and Business Services",508872,30239,7767290000
2001,4,"Arizona","Public Administration",17363,271,170071000
2002,4,"Arizona","Public Administration",17464,254,174073000
2001,4,"Arizona","Trade, Transportation, and Utilities",436866,26673,3203115000
2002,4,"Arizona","Trade, Transportation, and Utilities",454722,27041,3285981000
2003,4,"Arizona","Trade, Transportation, and Utilities",466108,27173,3319178000
2004,4,"Arizona","Trade, Transportation, and Utilities",469865,27432,3389010000
2005,4,"Arizona","Trade, Transportation, and Utilities",483323,28210,3596304000
2006,4,"Arizona","Trade, Transportation, and Utilities",515624,29000,4126322000
2007,4,"Arizona","Trade, Transportation, and Utilities",526982,29913,4219121000
2008,4,"Arizona","Trade, Transportation, and Utilities",527354,29601,4236730000
2009,4,"Arizona","Trade, Transportation, and Utilities",495951,28575,4194438000
2010,4,"Arizona","Trade, Transportation, and Utilities",464277,27827,3840557000
2011,4,"Arizona","Trade, Transportation, and Utilities",481991,27654,4409191000
2012,4,"Arizona","Trade, Transportation, and Utilities",467988,27617,4437353000
2013,4,"Arizona","Trade, Transportation, and Utilities",481862,27845,4638230000
2014,4,"Arizona","Trade, Transportation, and Utilities",490786,28013,4725370000
2015,4,"Arizona","Trade, Transportation, and Utilities",505431,28167,4982211000
2016,4,"Arizona","Trade, Transportation, and Utilities",515437,28116,5097978000
2017,4,"Arizona","Trade, Transportation, and Utilities",519210,28196,5500172000
2018,4,"Arizona","Trade, Transportation, and Utilities",529702,27930,5847099000
2019,4,"Arizona","Trade, Transportation, and Utilities",543074,28010,6210309000
2020,4,"Arizona","Trade, Transportation, and Utilities",558260,28046,6488621000
2021,4,"Arizona","Trade, Transportation, and Utilities",564381,28472,6609025000
2001,4,"Arizona","Unclassified",945,1341,4414000
2002,4,"Arizona","Unclassified",390,552,1992000
2003,4,"Arizona","Unclassified",614,509,2520000
2004,4,"Arizona","Unclassified",542,600,2616000
2005,4,"Arizona","Unclassified",70,373,224000
2006,4,"Arizona","Unclassified",417,499,2322000
2007,4,"Arizona","Unclassified",147,134,469000
2008,4,"Arizona","Unclassified",108,169,701000
2009,4,"Arizona","Unclassified",207,168,885000
2010,4,"Arizona","Unclassified",133,204,770000
2011,4,"Arizona","Unclassified",22,198,546000
2012,4,"Arizona","Unclassified",88,97,383000
2013,4,"Arizona","Unclassified",55,182,658000
2014,4,"Arizona","Unclassified",19,236,807000
2015,4,"Arizona","Unclassified",367,286,1745000
2016,4,"Arizona","Unclassified",365,289,1943000
2017,4,"Arizona","Unclassified",217,132,1634000
2018,4,"Arizona","Unclassified",270,186,1358000
2019,4,"Arizona","Unclassified",294,170,1536000
2020,4,"Arizona","Unclassified",325,241,2048000
2021,4,"Arizona","Unclassified",324,175,2774000
2001,5,"Arkansas","Agriculture and Mining",7879,1172,48975000
2002,5,"Arkansas","Agriculture and Mining",7743,1175,53510000
2003,5,"Arkansas","Agriculture and Mining",7538,1173,53919000
2004,5,"Arkansas","Agriculture and Mining",8289,1164,61670000
2005,5,"Arkansas","Agriculture and Mining",7147,1134,62014000
2006,5,"Arkansas","Agriculture and Mining",8294,1141,77783000
2007,5,"Arkansas","Agriculture and Mining",9039,1117,88217000
2008,5,"Arkansas","Agriculture and Mining",10094,1129,117674000
2009,5,"Arkansas","Agriculture and Mining",8350,1076,110522000
2010,5,"Arkansas","Agriculture and Mining",10882,1076,144643000
2011,5,"Arkansas","Agriculture and Mining",11701,1068,173450000
2012,5,"Arkansas","Agriculture and Mining",10989,1051,164283000
2013,5,"Arkansas","Agriculture and Mining",10367,1060,147415000
2014,5,"Arkansas","Agriculture and Mining",9306,1053,150690000
2015,5,"Arkansas","Agriculture and Mining",10487,1039,148976000
2016,5,"Arkansas","Agriculture and Mining",8704,995,112367000
2017,5,"Arkansas","Agriculture and Mining",8086,938,103335000
2018,5,"Arkansas","Agriculture and Mining",8324,914,111674000
2019,5,"Arkansas","Agriculture and Mining",7916,879,109003000
2020,5,"Arkansas","Agriculture and Mining",7478,857,103093000
2021,5,"Arkansas","Agriculture and Mining",7337,865,95209000
2001,5,"Arkansas","Construction",43318,5611,267500000
2002,5,"Arkansas","Construction",42917,5654,276588000
2003,5,"Arkansas","Construction",44978,5881,282884000
2004,5,"Arkansas","Construction",47814,6084,308996000
2005,5,"Arkansas","Construction",49835,6348,346165000
2006,5,"Arkansas","Construction",53414,6504,399088000
2007,5,"Arkansas","Construction",52882,6438,425486000
2008,5,"Arkansas","Construction",50633,6102,423647000
2009,5,"Arkansas","Construction",43662,5723,377204000
2010,5,"Arkansas","Construction",41522,5539,327032000
2011,5,"Arkansas","Construction",40682,5291,345236000
2012,5,"Arkansas","Construction",41229,5248,366416000
2013,5,"Arkansas","Construction",39369,5173,363130000
2014,5,"Arkansas","Construction",39855,5130,376471000
